date,open,high,low,close,adj close,volume
2003-11-10,960.590027,960.929993,947.169983,951.799988,951.799988,0
2003-11-11,951.799988,956.580017,907.250000,918.460022,918.460022,0
2003-11-12,915.890015,928.650024,908.679993,924.369995,924.369995,0
2003-11-13,924.599976,937.020020,920.729980,932.429993,932.429993,0
2003-11-14,932.429993,940.590027,927.669983,932.210022,932.210022,0
2003-11-17,932.210022,935.599976,909.030029,913.619995,913.619995,0
2003-11-18,916.849976,925.169983,913.219971,916.719971,916.719971,0
2003-11-19,917.200012,921.539978,915.059998,921.090027,921.090027,0
2003-11-20,920.030029,923.039978,915.570007,922.109985,922.109985,0
2003-11-21,922.109985,945.679993,918.179993,945.020020,945.020020,0
2003-11-24,946.590027,970.739990,946.590027,970.739990,970.739990,0
2003-11-25,970.979980,989.640015,970.979980,985.500000,985.500000,0
2003-11-26,987.549988,991.690002,974.210022,990.020020,990.020020,0
2003-11-27,990.020020,1001.380005,987.789978,993.530029,993.530029,0
2003-11-28,994.580017,1005.710022,994.580017,996.559998,996.559998,0
2003-12-01,996.780029,1003.539978,988.239990,999.429993,999.429993,0
2003-12-02,999.429993,1022.400024,998.830017,1022.400024,1022.400024,0
2003-12-03,1023.450012,1029.939941,1013.119995,1013.119995,1013.119995,0
2003-12-04,1013.119995,1017.799988,1008.250000,1010.679993,1010.679993,0
2003-12-05,1010.729980,1029.099976,1010.030029,1027.270020,1027.270020,0
2003-12-08,null,null,null,null,null,null
2003-12-09,1030.099976,1033.180054,1018.000000,1018.000000,1018.000000,0
2003-12-10,1017.849976,1018.900024,978.919983,984.659973,984.659973,0
2003-12-11,984.659973,1002.570007,969.159973,1001.710022,1001.710022,0
2003-12-12,1002.669983,1009.000000,986.919983,994.979980,994.979980,0
2003-12-15,997.760010,999.869995,978.020020,982.619995,982.619995,0
2003-12-16,982.619995,990.900024,976.650024,990.900024,990.900024,0
2003-12-17,991.489990,1002.059998,991.059998,999.190002,999.190002,0
2003-12-18,1000.340027,1021.909973,998.429993,1019.320007,1019.320007,0
2003-12-19,1019.320007,1021.770020,999.039978,999.690002,999.690002,0
2003-12-22,999.270020,1032.069946,994.650024,1028.439941,1028.439941,0
2003-12-23,1030.520020,1044.640015,1023.500000,1025.829956,1025.829956,0
2003-12-24,1029.560059,1037.069946,1028.380005,1036.359985,1036.359985,0
2003-12-25,null,null,null,null,null,null
2003-12-26,1036.359985,1048.000000,1032.199951,1044.699951,1044.699951,0
2003-12-29,1044.699951,1078.439941,1044.699951,1077.979980,1077.979980,0
2003-12-30,1078.030029,1086.770020,1073.979980,1074.599976,1074.599976,0
2003-12-31,1075.770020,1079.089966,1068.109985,1071.949951,1071.949951,0
2004-01-01,null,null,null,null,null,null
2004-01-02,1072.869995,1108.479980,1072.869995,1101.510010,1101.510010,0
2004-01-05,1102.369995,1145.369995,1102.369995,1144.520020,1144.520020,0
2004-01-06,1145.290039,1162.050049,1137.189941,1158.750000,1158.750000,0
2004-01-07,1158.750000,1169.949951,1147.180054,1162.800049,1162.800049,0
2004-01-08,1161.709961,1168.849976,1149.489990,1157.619995,1157.619995,0
2004-01-09,1157.619995,1199.030029,1155.589966,1195.400024,1195.400024,0
2004-01-12,1195.400024,1195.400024,1169.609985,1175.329956,1175.329956,0
2004-01-13,1175.329956,1217.920044,1173.369995,1205.619995,1205.619995,0
2004-01-14,1206.060059,1225.380005,1193.380005,1202.250000,1202.250000,0
2004-01-15,1202.250000,1205.319946,1184.229980,1202.859985,1202.859985,0
2004-01-16,1199.599976,1215.780029,1186.020020,1208.180054,1208.180054,0
2004-01-19,1207.729980,1254.000000,1199.349976,1246.510010,1246.510010,0
2004-01-20,1247.650024,1267.449951,1241.560059,1260.030029,1260.030029,0
2004-01-21,1260.449951,1263.589966,1221.319946,1223.770020,1223.770020,0
2004-01-22,1222.150024,1233.630005,1205.170044,1210.819946,1210.819946,0
2004-01-23,1210.819946,1215.050049,1153.339966,1163.599976,1163.599976,0
2004-01-26,1163.359985,1198.599976,1132.819946,1198.280029,1198.280029,0
2004-01-27,1200.060059,1218.140015,1200.060059,1203.189941,1203.189941,0
2004-01-28,1204.329956,1208.079956,1179.160034,1181.510010,1181.510010,0
2004-01-29,1181.510010,1181.510010,1133.579956,1144.670044,1144.670044,0
2004-01-30,1144.670044,1153.619995,1122.420044,1140.810059,1140.810059,0
2004-02-02,1141.079956,1146.400024,1121.089966,1129.859985,1129.859985,0
2004-02-03,1132.699951,1157.079956,1132.699951,1157.079956,1157.079956,0
2004-02-04,1158.729980,1165.959961,1130.500000,1134.339966,1134.339966,0
2004-02-05,1132.540039,1132.540039,1081.400024,1083.500000,1083.500000,0
2004-02-06,1083.050049,1083.050049,1042.359985,1053.260010,1053.260010,0
2004-02-09,1053.060059,1093.449951,1053.060059,1092.959961,1092.959961,0
2004-02-10,1091.760010,1091.760010,997.280029,1006.789978,1006.789978,0
2004-02-11,1008.559998,1037.819946,1006.900024,1029.930054,1029.930054,0
2004-02-12,1030.790039,1077.069946,1030.790039,1071.270020,1071.270020,0
2004-02-13,1072.339966,1106.569946,1072.339966,1089.989990,1089.989990,0
2004-02-16,1088.800049,1123.239990,1088.800049,1119.739990,1119.739990,0
2004-02-17,1116.880005,1130.939941,1107.310059,1109.369995,1109.369995,0
2004-02-18,1109.319946,1131.329956,1104.430054,1127.729980,1127.729980,0
2004-02-19,1127.729980,1138.439941,1121.119995,1122.780029,1122.780029,0
2004-02-20,1122.780029,1145.939941,1114.849976,1145.939941,1145.939941,0
2004-02-23,1147.430054,1199.439941,1147.430054,1199.439941,1199.439941,0
2004-02-24,1200.319946,1211.079956,1187.459961,1203.579956,1203.579956,0
2004-02-25,1201.810059,1206.280029,1177.050049,1178.430054,1178.430054,0
2004-02-26,1178.430054,1196.989990,1171.550049,1192.560059,1192.560059,0
2004-02-27,1190.849976,1192.510010,1176.969971,1183.140015,1183.140015,0
2004-03-01,1183.140015,1210.540039,1179.290039,1210.540039,1210.540039,0
2004-03-02,1210.540039,1221.569946,1210.069946,1214.069946,1214.069946,0
2004-03-03,1211.790039,1217.030029,1198.469971,1203.430054,1203.430054,0
2004-03-04,1203.430054,1203.430054,1180.880005,1189.849976,1189.849976,0
2004-03-05,1183.640015,1183.640015,1151.550049,1157.560059,1157.560059,0
2004-03-08,1156.760010,1163.380005,1129.430054,1149.859985,1149.859985,0
2004-03-09,1152.130005,1218.849976,1152.130005,1217.650024,1217.650024,0
2004-03-10,1225.130005,1248.859985,1213.849976,1239.670044,1239.670044,0
2004-03-11,1236.719971,1247.140015,1224.000000,1236.609985,1236.609985,0
2004-03-12,1234.880005,1259.630005,1225.369995,1258.739990,1258.739990,0
2004-03-15,1259.290039,1279.849976,1229.910034,1235.010010,1235.010010,0
2004-03-16,1235.010010,1252.729980,1235.010010,1240.229980,1240.229980,0
2004-03-17,1240.910034,1264.810059,1240.910034,1254.500000,1254.500000,0
2004-03-18,1255.390015,1258.859985,1242.550049,1255.079956,1255.079956,0
