underlying,underlying_last,optionroot,type,expiration,quotedate,strike,last,bid,ask,volume,openinterest,ivbid,ivask,delta,gamma
MELI,37.03,QMB080621P00055000,put,06/21/2008,01/31/2008,55.0,21.0,21.3,22.1,0,74,0.9614,1.0523,-0.6173,0.0165
MELI,37.03,QMB080621C00060000,call,06/21/2008,01/31/2008,60.0,3.6,3.2,3.6,20,672,0.9385,0.9873,0.3187,0.016
MELI,37.03,QMB080621P00060000,put,06/21/2008,01/31/2008,60.0,25.5,25.3,26.3,0,90,0.9426,1.0624,-0.6713,0.0157
MELI,37.03,QMB080621C00065000,call,06/21/2008,01/31/2008,65.0,2.75,2.5,2.9,21,118,0.9258,0.9787,0.2657,0.0149
MELI,37.03,QMB080621P00065000,put,06/21/2008,01/31/2008,65.0,24.1,29.5,30.6,0,11,0.9268,1.068,-0.7169,0.0147
MELI,37.03,QMB080621C00070000,call,06/21/2008,01/31/2008,70.0,1.85,1.95,2.3,31,175,0.9147,0.9657,0.2195,0.0137
MELI,37.03,QMB080621P00070000,put,06/21/2008,01/31/2008,70.0,34.4,34.1,35.0,0,12,0.9489,1.072,-0.7543,0.0137
MELI,37.03,QMB080621C00075000,call,06/21/2008,01/31/2008,75.0,1.3,1.45,1.85,1,182,0.8933,0.9586,0.18,0.0123
MELI,37.03,QMB080621P00075000,put,06/21/2008,01/31/2008,75.0,30.0,38.5,39.5,0,22,0.9277,1.0772,-0.7843,0.0126
MELI,37.03,QMB080621C00080000,call,06/21/2008,01/31/2008,80.0,1.2,1.1,1.5,25,97,0.8788,0.9540000000000001,0.1466,0.011000000000000001
MELI,37.03,QMB080621P00080000,put,06/21/2008,01/31/2008,80.0,34.0,43.1,44.1,0,11,0.9238,1.0865,-0.8079,0.0116
MELI,37.03,QMB080621C00085000,call,06/21/2008,01/31/2008,85.0,1.05,0.85,1.15,0,45,0.8707,0.9355,0.1188,0.0096
MELI,37.03,QMB080621P00085000,put,06/21/2008,01/31/2008,85.0,38.3,47.9,49.0,0,20,0.9474,1.1335,-0.8258,0.0107
MELI,37.03,QMB080621C00090000,call,06/21/2008,01/31/2008,90.0,1.8,0.65,0.95,0,69,0.8615,0.9357,0.0959,0.0083
MELI,37.03,QMB080621P00090000,put,06/21/2008,01/31/2008,90.0,0.0,52.5,54.0,0,0,0.9208,1.1916,-0.8391,0.01
MELI,37.03,QMB080621C00095000,call,06/21/2008,01/31/2008,95.0,0.9,0.45,0.75,0,42,0.8377,0.9263,0.0774,0.0072
MELI,37.03,QMB080621P00095000,put,06/21/2008,01/31/2008,95.0,0.0,57.4,58.5,0,0,0.9539,1.1679,-0.8483,0.0094
MELI,37.03,QMB080621C00100000,call,06/21/2008,01/31/2008,100.0,0.7,0.5,0.65,0,406,0.8886,0.9346,0.0624,0.0061
MELI,37.03,QMB080621P00100000,put,06/21/2008,01/31/2008,100.0,0.0,62.2,64.0,0,0,0.9584,1.2986,-0.8541,0.0089
MELI,37.03,QMB080621C00105000,call,06/21/2008,01/31/2008,105.0,0.0,0.25,0.55,0,55,0.8187,0.9373,0.0504,0.0052
MELI,37.03,QMB080621P00105000,put,06/21/2008,01/31/2008,105.0,50.3,67.1,69.0,0,10,0.9851,1.3482,-0.8569,0.0085
MELI,37.03,QMB080621C00110000,call,06/21/2008,01/31/2008,110.0,0.0,0.15,0.45,0,45,0.7861,0.9336,0.040999999999999995,0.0044
MELI,37.03,QMB080621P00110000,put,06/21/2008,01/31/2008,110.0,49.0,72.0,74.0,0,1,1.0096,1.3956,-0.871,0.0079
MELI,37.03,QMB080621C00115000,call,06/21/2008,01/31/2008,115.0,0.25,0.1,0.35,0,53,0.7696,0.9221,0.0335,0.0038
MELI,37.03,QMB080621P00115000,put,06/21/2008,01/31/2008,115.0,62.6,77.1,78.9,0,10,1.0873,1.4259,-0.8835,0.0073
MELI,37.03,QMB080621C00120000,call,06/21/2008,01/31/2008,120.0,0.5,0.05,0.3,0,76,0.7306,0.9254,0.0276,0.0032
MELI,37.03,QMB080621P00120000,put,06/21/2008,01/31/2008,120.0,69.0,82.0,84.0,0,1,1.1095,1.4845,-0.8947,0.0068
MELI,37.03,QMB080621C00125000,call,06/21/2008,01/31/2008,125.0,0.0,0.0,0.25,0,70,0.0,0.9242,0.023,0.0028
MELI,37.03,QMB080621P00125000,put,06/21/2008,01/31/2008,125.0,0.0,87.1,89.0,0,0,1.1815,1.5264,-0.9047,0.0064
MELI,37.03,QMB080621C00130000,call,06/21/2008,01/31/2008,130.0,0.45,0.0,0.25,0,71,0.0,0.9473,0.0193,0.0024
MELI,37.03,QMB080621P00130000,put,06/21/2008,01/31/2008,130.0,0.0,92.1,94.0,0,0,1.226,1.5669,-0.9136,0.0059
MELI,37.03,QMB080920C00017500,call,09/20/2008,01/31/2008,17.5,0.0,21.7,22.7,0,0,1.0126,1.2149,0.9072,0.0051
MELI,37.03,QMB080920P00017500,put,09/20/2008,01/31/2008,17.5,2.4,2.05,2.45,10,0,1.078,1.1584,-0.0943,0.0051
MELI,37.03,QMB080920C00020000,call,09/20/2008,01/31/2008,20.0,0.0,20.0,21.0,0,0,1.0056,1.1746,0.8798,0.0063
MELI,37.03,QMB080920P00020000,put,09/20/2008,01/31/2008,20.0,2.8,2.85,3.3,0,2,1.0697,1.1451,-0.1212,0.0062
MELI,37.03,QMB080920C00022500,call,09/20/2008,01/31/2008,22.5,0.0,18.3,19.5,0,0,0.9801,1.1553,0.8508,0.0074
MELI,37.03,QMB080920P00022500,put,09/20/2008,01/31/2008,22.5,0.0,3.7,4.2,0,0,1.0514,1.1241,-0.1499,0.0073
MELI,37.03,QMB080920C00025000,call,09/20/2008,01/31/2008,25.0,0.0,17.0,18.0,0,0,0.9961,1.125,0.8204,0.0084
MELI,37.03,QMB080920P00025000,put,09/20/2008,01/31/2008,25.0,4.0,4.7,5.2,0,12,1.0407,1.1052,-0.1798,0.0083
MELI,37.03,QMB080920C00030000,call,09/20/2008,01/31/2008,30.0,0.0,14.5,15.2,0,0,0.9914,1.0671,0.7574,0.0102
MELI,37.03,QMB080920P00030000,put,09/20/2008,01/31/2008,30.0,6.7,7.0,7.5,0,24,1.0203,1.0746,-0.242,0.0101
MELI,37.03,QMB080920C00035000,call,09/20/2008,01/31/2008,35.0,0.0,12.0,13.0,0,0,0.9489,1.0451,0.6932,0.0117
MELI,37.03,QMB080920P00035000,put,09/20/2008,01/31/2008,35.0,9.65,9.6,10.2,0,16,0.9961,1.054,-0.3052,0.0115
MELI,37.03,QMB080920C00040000,call,09/20/2008,01/31/2008,40.0,10.4,10.1,10.9,1,16,0.9357,1.0072,0.6295,0.0129
MELI,37.03,QMB080920P00040000,put,09/20/2008,01/31/2008,40.0,10.68,12.5,13.3,0,26,0.9727,1.0446,-0.3674,0.0126
MELI,37.03,QMB080920C00045000,call,09/20/2008,01/31/2008,45.0,8.8,8.7,9.3,4,1,0.9413,0.9929,0.5678,0.0136
MELI,37.03,QMB080920P00045000,put,09/20/2008,01/31/2008,45.0,15.5,15.8,16.5,0,1,0.9618,1.0222,-0.4269,0.0133
MELI,37.03,QMB080920C00050000,call,09/20/2008,01/31/2008,50.0,7.5,7.3,8.0,2,16,0.9262,0.9856,0.509,0.0141
MELI,37.03,QMB080920P00050000,put,09/20/2008,01/31/2008,50.0,18.3,19.3,20.1,0,11,0.9484,1.0163,-0.4825,0.0137
MELI,37.03,QMB080920C00055000,call,09/20/2008,01/31/2008,55.0,8.8,6.1,6.8,0,2,0.9106,0.9703,0.4539,0.0142
MELI,37.03,QMB080920P00055000,put,09/20/2008,01/31/2008,55.0,15.7,23.1,23.9,0,24,0.9440000000000001,1.0121,-0.5333,0.0137
MELI,37.03,QMB080920C00060000,call,09/20/2008,01/31/2008,60.0,4.9,5.2,5.8,20,10,0.9071,0.9595,0.40299999999999997,0.0141
MELI,37.03,QMB080920P00060000,put,09/20/2008,01/31/2008,60.0,0.0,27.1,27.9,0,0,0.9429,1.012,-0.5788,0.0136
MELI,37.03,QMB080920C00065000,call,09/20/2008,01/31/2008,65.0,4.6,4.4,4.9,13,27,0.8995,0.9448,0.3565,0.0137
MELI,37.03,QMB080920P00065000,put,09/20/2008,01/31/2008,65.0,0.0,31.2,32.0,0,0,0.9386,1.0097,-0.6188,0.0132
MELI,37.03,QMB080920C00070000,call,09/20/2008,01/31/2008,70.0,3.9,3.7,4.2,12,5,0.8899,0.9374,0.3146,0.0132
MELI,37.03,QMB080920P00070000,put,09/20/2008,01/31/2008,70.0,0.0,35.5,36.4,0,0,0.9425,1.0248,-0.6533,0.0128
MELI,37.03,QMB080920C00075000,call,09/20/2008,01/31/2008,75.0,3.1,3.1,3.8,10,0,0.88,0.9497,0.2772,0.0126
